credit_score,spending_patterns,savings_account_usage,investment_portfolios,loan_information,mortgage_details,credit_card_usage,insurance_policies,financial_goals,emergency_fund_status,financial_planning_services,budget_adherence,debt_management_practices,tax_planning_strategies,charitable_contributions
Excellent,High,Occasional,Stocks,Yes,No,Moderate,Home,Retirement,Insufficient,No,Excellent,Moderate,Yes,Occasional
Excellent,Moderate,Frequent,None,No,No,High,Life,Travel,None,Yes,Good,Moderate,No,Occasional
Good,Moderate,Occasional,Bonds,No,Yes,Low,None,Buying a House,None,No,Good,Moderate,No,Frequent
Poor,Low,None,Stocks,Yes,Yes,Low,Life,None,Insufficient,Yes,Good,Conservative,Yes,Occasional
Excellent,Moderate,Frequent,Stocks,No,Yes,Moderate,Life,Buying a House,Adequate,Yes,Fair,Aggressive,Yes,Frequent
Excellent,Low,Frequent,Cryptocurrency,Yes,No,High,Car,None,Adequate,Yes,Fair,Conservative,Yes,Occasional
Poor,Low,Occasional,Real Estate,No,No,High,Home,Buying a House,Insufficient,No,Fair,Conservative,No,None
Excellent,High,Frequent,Real Estate,Yes,Yes,Low,None,None,Insufficient,No,Fair,Moderate,No,Frequent
Good,Low,Frequent,Cryptocurrency,Yes,Yes,High,Life,Retirement,None,No,Poor,Conservative,No,Frequent
Excellent,Low,Frequent,Cryptocurrency,No,Yes,Low,None,None,Insufficient,Yes,Fair,None,No,Frequent
Good,Moderate,Frequent,Bonds,No,Yes,High,Home,Education,Adequate,No,Fair,Aggressive,Yes,Frequent
Poor,Moderate,None,Bonds,No,No,Moderate,Life,Buying a House,Adequate,No,Fair,Aggressive,No,Frequent
Fair,High,None,Real Estate,No,Yes,Low,None,Travel,Insufficient,Yes,Fair,Moderate,No,Frequent
Poor,High,Frequent,Cryptocurrency,No,Yes,High,Home,None,Adequate,Yes,Poor,None,Yes,Frequent
Fair,High,Frequent,None,No,No,Low,Life,None,Insufficient,No,Fair,None,No,None
Good,High,Frequent,Stocks,No,No,High,None,Buying a House,Adequate,No,Excellent,Moderate,No,None
Fair,High,Occasional,None,No,Yes,Moderate,None,Retirement,Insufficient,No,Excellent,None,Yes,None
Good,Low,Frequent,Cryptocurrency,No,Yes,High,None,Retirement,None,Yes,Fair,Aggressive,No,Frequent
Good,Moderate,Frequent,None,No,Yes,High,None,Retirement,Adequate,Yes,Fair,Aggressive,Yes,None
Excellent,Low,Frequent,None,Yes,No,Moderate,None,None,Insufficient,No,Poor,Aggressive,No,Frequent
Fair,High,None,Bonds,Yes,Yes,Low,Car,Buying a House,None,No,Poor,Moderate,No,None
Fair,Moderate,Frequent,Bonds,No,Yes,High,Life,Buying a House,Insufficient,Yes,Fair,None,No,Frequent
Excellent,Low,None,Stocks,Yes,Yes,Low,Health,Buying a House,Adequate,No,Excellent,None,No,Frequent
Good,High,None,Cryptocurrency,Yes,Yes,High,None,Buying a House,Insufficient,No,Excellent,Conservative,No,Occasional
Fair,High,Frequent,Stocks,No,No,Low,Life,Education,Insufficient,Yes,Fair,None,No,Occasional
Excellent,Moderate,None,Real Estate,No,Yes,Low,Life,Retirement,None,No,Fair,None,No,Frequent
Excellent,High,Frequent,Cryptocurrency,No,Yes,High,Health,Education,None,Yes,Poor,None,Yes,Occasional
Poor,High,Frequent,Real Estate,No,Yes,Low,Car,Travel,None,No,Good,None,No,None
Poor,Low,Occasional,None,No,Yes,High,None,Buying a House,Adequate,No,Good,Conservative,No,None
Excellent,Low,None,Real Estate,No,Yes,High,Home,None,None,No,Poor,None,No,Occasional
Good,High,None,Stocks,No,Yes,Low,Car,None,Insufficient,No,Good,Aggressive,No,Frequent
Fair,Moderate,None,None,No,Yes,Low,None,Travel,Adequate,No,Poor,Aggressive,Yes,None
Excellent,High,Frequent,Cryptocurrency,No,No,Low,Health,Travel,Insufficient,No,Fair,None,Yes,Occasional
Excellent,Moderate,None,Bonds,Yes,No,Moderate,Home,Buying a House,None,Yes,Poor,Moderate,No,Occasional
Poor,High,None,Stocks,No,No,Moderate,Car,None,None,Yes,Good,None,Yes,None
Fair,High,None,Bonds,Yes,No,Moderate,Car,Retirement,Insufficient,No,Fair,Moderate,No,None
Good,Moderate,Occasional,Stocks,No,Yes,Low,Home,Buying a House,Insufficient,Yes,Poor,Conservative,Yes,Occasional
Excellent,Low,None,Real Estate,Yes,No,Low,Health,None,Insufficient,No,Excellent,Conservative,Yes,None
Good,Low,None,Real Estate,Yes,Yes,High,Car,Buying a House,Adequate,No,Excellent,Aggressive,Yes,Frequent
Excellent,Low,Occasional,Cryptocurrency,Yes,Yes,Low,Home,None,Adequate,Yes,Good,Aggressive,Yes,None
Excellent,High,Occasional,Real Estate,Yes,Yes,High,Health,Buying a House,Insufficient,Yes,Fair,Moderate,No,Frequent
Fair,Moderate,None,None,No,Yes,High,Car,None,Adequate,No,Excellent,Conservative,Yes,None
Fair,Low,Frequent,Bonds,Yes,Yes,Low,Home,Travel,Insufficient,No,Good,Moderate,No,Frequent
Excellent,Moderate,Occasional,Real Estate,Yes,Yes,High,Life,Education,None,Yes,Excellent,Aggressive,Yes,Frequent
Excellent,High,Occasional,Bonds,Yes,No,Moderate,Health,None,Insufficient,No,Good,Aggressive,No,Frequent
Excellent,Low,Frequent,Real Estate,Yes,No,High,Life,Retirement,Adequate,Yes,Fair,None,No,Occasional
Good,High,None,Cryptocurrency,Yes,No,High,Life,Travel,Adequate,Yes,Excellent,Moderate,Yes,None
Good,Low,Occasional,Bonds,No,No,Moderate,None,Buying a House,Insufficient,No,Good,None,No,Occasional
Fair,Moderate,Occasional,Cryptocurrency,Yes,No,Moderate,Health,Education,None,Yes,Good,Conservative,Yes,Occasional
Excellent,High,Frequent,Bonds,Yes,Yes,High,Car,Travel,Insufficient,Yes,Poor,None,Yes,None
Excellent,Moderate,None,Real Estate,Yes,Yes,Low,Car,Travel,Adequate,Yes,Fair,Aggressive,Yes,Frequent
Fair,Low,Occasional,Cryptocurrency,No,Yes,Moderate,Home,Education,Insufficient,Yes,Poor,Moderate,Yes,None
Good,Moderate,Occasional,Stocks,Yes,Yes,Low,Health,Buying a House,None,No,Fair,Moderate,No,Frequent
Poor,Low,Frequent,Real Estate,No,Yes,Moderate,Life,None,None,Yes,Good,Aggressive,Yes,Occasional
Excellent,High,None,Cryptocurrency,No,No,Moderate,Car,None,None,No,Fair,None,No,Frequent
Poor,Moderate,Occasional,Bonds,Yes,Yes,High,Life,None,Insufficient,Yes,Poor,Aggressive,No,Frequent
Poor,High,None,Cryptocurrency,Yes,Yes,Moderate,Car,Education,Insufficient,Yes,Excellent,Moderate,No,Occasional
Fair,High,Frequent,None,No,No,Moderate,Life,Education,Adequate,Yes,Good,Moderate,No,Frequent
Excellent,High,Occasional,Real Estate,Yes,No,Low,Life,Retirement,Insufficient,Yes,Good,Moderate,No,Frequent
Excellent,Low,None,Stocks,No,Yes,High,Life,Education,None,No,Fair,Moderate,Yes,Frequent
Fair,High,Occasional,None,No,Yes,High,Home,Education,None,Yes,Good,Aggressive,No,Frequent
Fair,High,None,Real Estate,Yes,Yes,High,None,Travel,None,No,Fair,None,No,Frequent
Fair,High,Frequent,None,No,No,High,None,None,None,No,Good,None,Yes,None
Poor,Moderate,None,None,No,No,Low,Car,Education,None,No,Good,Moderate,Yes,Frequent
Excellent,Low,Frequent,None,Yes,No,Moderate,None,Education,Insufficient,No,Excellent,Aggressive,No,None
Fair,High,None,Stocks,Yes,Yes,Low,Car,Retirement,Insufficient,No,Poor,None,No,Frequent
Good,Low,Frequent,Cryptocurrency,No,Yes,Moderate,Health,Retirement,None,Yes,Excellent,Conservative,Yes,Frequent
Fair,Moderate,Frequent,Cryptocurrency,No,Yes,Moderate,Life,Buying a House,Insufficient,Yes,Poor,None,No,Occasional
Poor,High,Occasional,Bonds,No,Yes,High,None,Retirement,Adequate,Yes,Good,None,No,Occasional
Excellent,High,None,None,Yes,Yes,Low,None,None,None,No,Excellent,Moderate,Yes,Occasional
Poor,Low,Occasional,Stocks,No,Yes,Low,Home,Education,None,Yes,Poor,Aggressive,No,Occasional
Fair,Moderate,Occasional,Cryptocurrency,No,No,Low,Life,Education,None,Yes,Good,Aggressive,No,None
Good,High,None,None,No,No,High,Life,None,Insufficient,Yes,Good,Moderate,Yes,Occasional
Excellent,Low,Frequent,Bonds,No,Yes,Moderate,Life,Travel,None,Yes,Good,None,Yes,Frequent
Excellent,Low,Occasional,Bonds,Yes,No,High,None,Buying a House,None,Yes,Good,Aggressive,Yes,None
Excellent,High,Occasional,Stocks,No,Yes,High,Home,Education,None,No,Good,Moderate,Yes,Occasional
Good,Moderate,Frequent,Bonds,No,No,High,Home,Education,Insufficient,Yes,Good,Aggressive,No,Frequent
Good,Low,Occasional,Bonds,Yes,Yes,Low,Health,Education,None,Yes,Fair,Aggressive,Yes,Occasional
Poor,Low,Frequent,Stocks,No,No,High,None,Travel,Adequate,No,Excellent,Conservative,Yes,Occasional
Poor,Moderate,Occasional,None,Yes,Yes,Low,Home,None,Insufficient,Yes,Good,Conservative,Yes,Frequent
Fair,Moderate,Frequent,Stocks,No,No,Low,None,None,None,No,Fair,Conservative,Yes,None
Poor,High,Occasional,None,No,No,Low,Life,Retirement,None,Yes,Excellent,Moderate,No,Occasional
Excellent,High,Frequent,Cryptocurrency,Yes,Yes,Moderate,Health,Buying a House,Adequate,Yes,Good,Conservative,Yes,Frequent
Poor,Low,Frequent,Cryptocurrency,No,No,Low,Life,Travel,Insufficient,No,Fair,Conservative,Yes,Occasional
Fair,Low,Occasional,Real Estate,No,Yes,High,Health,Travel,Insufficient,No,Poor,None,No,Frequent
Excellent,High,Occasional,Stocks,Yes,No,High,Health,Retirement,Insufficient,Yes,Fair,Moderate,Yes,None
Excellent,Low,Occasional,None,No,Yes,Low,None,Education,None,No,Good,Conservative,Yes,None
Excellent,Moderate,Occasional,Cryptocurrency,Yes,Yes,Moderate,Life,Buying a House,Adequate,No,Fair,Conservative,No,Occasional
Excellent,Low,None,Stocks,No,Yes,Low,Car,Retirement,None,No,Fair,None,No,Frequent
Excellent,Low,Frequent,Cryptocurrency,Yes,No,Low,Home,Retirement,None,Yes,Poor,None,Yes,Occasional
Excellent,High,None,Stocks,No,No,High,Car,Buying a House,Adequate,No,Excellent,None,Yes,None
Poor,Moderate,Frequent,Real Estate,Yes,Yes,Low,Car,None,None,Yes,Fair,Aggressive,Yes,Frequent
Fair,Moderate,Frequent,Bonds,No,No,High,None,Retirement,Insufficient,Yes,Good,Moderate,Yes,Frequent
Fair,Low,Frequent,Cryptocurrency,No,Yes,Low,Car,Retirement,Adequate,Yes,Poor,Conservative,Yes,None
Poor,Moderate,Occasional,Real Estate,Yes,No,High,Home,Education,Adequate,Yes,Poor,None,No,Occasional
Excellent,Moderate,Frequent,None,No,No,Moderate,Home,Education,None,Yes,Fair,None,Yes,Occasional
Poor,Moderate,Occasional,Bonds,Yes,Yes,Low,Car,Travel,None,No,Good,None,Yes,Frequent
Poor,Moderate,None,Cryptocurrency,No,No,Low,Car,Education,None,No,Good,Aggressive,Yes,None
Poor,High,Frequent,None,No,Yes,Low,Health,Travel,Adequate,Yes,Good,Moderate,No,Occasional
Poor,Low,Frequent,None,Yes,Yes,Moderate,Health,Education,None,No,Fair,Aggressive,No,None
Good,Moderate,Occasional,Bonds,No,No,High,Car,None,None,No,Poor,Aggressive,Yes,Frequent
Excellent,Moderate,None,Cryptocurrency,Yes,No,High,Car,Retirement,Adequate,Yes,Poor,Conservative,Yes,Frequent
Excellent,High,Frequent,Real Estate,Yes,No,High,Home,Education,None,Yes,Poor,None,Yes,Occasional
Fair,Low,None,Stocks,No,Yes,High,Health,None,Insufficient,No,Fair,Conservative,No,Occasional
Good,Moderate,Occasional,Bonds,No,No,High,Health,Education,None,No,Poor,Moderate,Yes,Frequent
Good,High,None,Bonds,Yes,Yes,Low,Home,Travel,Insufficient,Yes,Excellent,Aggressive,No,None
Fair,Low,None,Cryptocurrency,No,No,Low,Car,None,Insufficient,No,Poor,Conservative,No,None
Good,Low,None,None,No,No,Low,Life,None,None,No,Poor,Moderate,Yes,None
Good,High,Occasional,Cryptocurrency,No,No,Moderate,Home,None,None,Yes,Good,Conservative,No,None
Poor,High,Frequent,Stocks,No,Yes,Low,None,Education,Insufficient,Yes,Excellent,Conservative,No,Frequent
Good,High,Occasional,Stocks,No,No,Moderate,Health,Retirement,None,Yes,Fair,Conservative,Yes,Frequent
Poor,Low,Frequent,Real Estate,Yes,No,High,None,None,Adequate,No,Excellent,Aggressive,No,Frequent
Fair,Moderate,None,None,Yes,Yes,Low,None,None,Adequate,Yes,Fair,None,No,Frequent
Fair,Moderate,Occasional,Stocks,Yes,Yes,Moderate,Car,None,None,Yes,Poor,None,Yes,Frequent
Poor,High,Occasional,None,No,Yes,Moderate,Life,Education,Adequate,Yes,Excellent,Moderate,Yes,None
Good,Moderate,Occasional,Stocks,No,Yes,Low,Health,Retirement,Insufficient,No,Poor,Aggressive,Yes,None
Poor,Low,Frequent,Cryptocurrency,Yes,No,High,Home,None,Insufficient,No,Good,Conservative,No,Occasional
Good,High,Frequent,Cryptocurrency,No,Yes,Low,Life,Education,Insufficient,Yes,Excellent,Conservative,No,Occasional
Good,Moderate,Frequent,None,No,No,Low,Health,None,Adequate,No,Poor,None,Yes,Frequent
Fair,High,None,Bonds,Yes,No,Low,Health,Education,Insufficient,Yes,Excellent,Moderate,Yes,Frequent
Excellent,Moderate,Frequent,None,No,No,Low,None,None,Adequate,No,Poor,Conservative,No,Frequent
Excellent,Low,Frequent,Cryptocurrency,Yes,No,Moderate,Life,None,None,No,Good,Moderate,No,Frequent
Fair,Low,Occasional,Real Estate,No,No,Moderate,Home,Retirement,Insufficient,No,Poor,Aggressive,No,Frequent
Excellent,Low,Frequent,Stocks,Yes,No,Low,Health,Travel,None,No,Excellent,Conservative,Yes,Occasional
Poor,Low,Occasional,Real Estate,Yes,No,Low,Health,Education,None,Yes,Good,Moderate,No,None
Poor,Low,None,Real Estate,Yes,No,Moderate,Home,Travel,Adequate,No,Poor,Aggressive,Yes,Frequent
Excellent,Low,None,None,Yes,No,Low,Health,None,Adequate,Yes,Poor,Conservative,No,None
Poor,High,Occasional,Cryptocurrency,No,No,Moderate,Health,Buying a House,Adequate,No,Fair,None,Yes,None
Fair,Moderate,None,Stocks,Yes,No,Low,Life,Retirement,Adequate,No,Good,Conservative,Yes,Occasional
Excellent,Low,Frequent,Real Estate,Yes,No,Moderate,Home,Buying a House,None,No,Poor,None,No,None
Excellent,Low,Occasional,Stocks,Yes,Yes,Moderate,Health,None,Adequate,No,Poor,Conservative,Yes,Frequent
Excellent,Low,Occasional,None,No,Yes,High,Home,Buying a House,None,Yes,Fair,None,No,Frequent
Fair,Low,Occasional,None,Yes,No,High,None,None,None,No,Good,Aggressive,Yes,Frequent
Poor,High,None,Bonds,No,Yes,High,Life,Travel,Adequate,Yes,Good,Moderate,Yes,Frequent
Good,Moderate,Occasional,None,No,No,High,Life,Buying a House,Adequate,Yes,Poor,Moderate,Yes,Frequent
Excellent,Low,Frequent,None,Yes,No,Low,None,Buying a House,Insufficient,No,Excellent,Moderate,Yes,Occasional
Fair,High,None,Bonds,No,Yes,High,Health,Education,Adequate,Yes,Poor,Moderate,Yes,None
Good,High,Frequent,None,Yes,Yes,Moderate,Home,Travel,None,Yes,Poor,Moderate,Yes,Frequent
Good,Moderate,None,Bonds,Yes,No,Moderate,None,None,Insufficient,Yes,Good,None,No,None
Excellent,High,Occasional,Cryptocurrency,No,Yes,High,Home,None,Insufficient,No,Fair,Moderate,Yes,Frequent
Fair,Moderate,Frequent,None,Yes,No,Moderate,None,Travel,None,Yes,Good,None,No,Frequent
Good,High,None,Real Estate,Yes,No,Low,None,Education,Insufficient,Yes,Excellent,Moderate,Yes,Frequent
Fair,Moderate,Occasional,Stocks,Yes,No,Moderate,Car,Travel,Adequate,Yes,Fair,Conservative,Yes,Occasional
Good,High,Frequent,None,No,No,High,None,Travel,Adequate,No,Good,Conservative,Yes,None
Poor,Moderate,None,Real Estate,Yes,Yes,High,Health,Education,Insufficient,No,Fair,None,Yes,None
Excellent,High,Frequent,None,No,Yes,High,None,Travel,Adequate,Yes,Excellent,Moderate,Yes,None
Fair,Moderate,Occasional,Stocks,No,Yes,Moderate,Home,Education,Insufficient,Yes,Good,Moderate,Yes,Occasional
Good,High,Frequent,Bonds,Yes,No,High,Car,Travel,None,No,Fair,None,Yes,None
Excellent,Moderate,Occasional,None,Yes,No,Moderate,Home,Retirement,None,No,Excellent,Conservative,Yes,None
Poor,High,None,Bonds,Yes,Yes,High,Health,Travel,None,Yes,Fair,Aggressive,Yes,Frequent
Excellent,Moderate,Occasional,Real Estate,Yes,Yes,Low,Health,Retirement,Adequate,Yes,Poor,Conservative,No,Occasional
Good,Low,None,Cryptocurrency,No,Yes,Low,Home,Buying a House,Adequate,Yes,Excellent,Conservative,Yes,Occasional
Fair,Low,Occasional,Real Estate,Yes,Yes,Moderate,None,Buying a House,None,Yes,Excellent,Conservative,Yes,None
Excellent,Moderate,Occasional,Bonds,Yes,No,Low,Car,Education,None,No,Poor,None,No,None
Fair,Low,Occasional,Cryptocurrency,No,No,Low,Car,Education,None,No,Good,Moderate,No,Occasional
Excellent,Moderate,Frequent,None,Yes,No,Low,None,Buying a House,None,Yes,Fair,Conservative,Yes,Occasional
Excellent,Moderate,Frequent,Bonds,Yes,No,Moderate,Health,Travel,Adequate,No,Fair,Moderate,No,Frequent
Poor,Low,None,None,No,No,Moderate,None,Education,Insufficient,Yes,Good,Aggressive,Yes,Frequent
Fair,High,None,None,No,No,Moderate,None,Retirement,Adequate,No,Fair,Conservative,No,None
Fair,High,None,Cryptocurrency,Yes,No,Low,None,Retirement,None,Yes,Excellent,None,Yes,Occasional
Excellent,High,None,Real Estate,Yes,No,High,Health,None,Adequate,Yes,Poor,Conservative,Yes,None
Fair,High,Frequent,Stocks,No,Yes,Moderate,Health,Retirement,Insufficient,No,Fair,Moderate,Yes,None
Poor,Moderate,Occasional,Real Estate,Yes,Yes,High,Life,Travel,None,Yes,Excellent,Moderate,No,Occasional
Good,High,Frequent,Cryptocurrency,Yes,No,Low,None,Education,None,No,Poor,Aggressive,No,Occasional
Poor,High,Occasional,Real Estate,No,Yes,Moderate,Home,None,Adequate,Yes,Poor,Conservative,Yes,None
Good,High,None,Real Estate,Yes,Yes,Low,Health,Buying a House,None,Yes,Excellent,Conservative,Yes,Occasional
Excellent,Low,Occasional,Cryptocurrency,No,Yes,Moderate,None,Travel,Insufficient,Yes,Fair,Aggressive,No,Frequent
Fair,High,None,None,No,Yes,Moderate,Home,Education,Insufficient,Yes,Good,Moderate,No,Occasional
Good,High,None,Stocks,No,No,High,Health,None,Adequate,Yes,Poor,Conservative,No,Frequent
Fair,High,Occasional,Bonds,No,No,High,Home,Buying a House,Insufficient,No,Excellent,Conservative,Yes,Frequent
Good,Moderate,Occasional,None,Yes,Yes,Moderate,None,Travel,Insufficient,Yes,Excellent,None,Yes,None
Poor,Moderate,Frequent,Bonds,No,No,Moderate,None,Buying a House,Adequate,No,Good,None,Yes,Frequent
Excellent,Moderate,None,None,Yes,No,High,Health,Buying a House,Insufficient,Yes,Fair,Moderate,No,None
Excellent,Moderate,None,Bonds,No,Yes,Low,Car,Buying a House,Adequate,No,Good,Conservative,No,Occasional
Good,Moderate,Frequent,Bonds,Yes,Yes,Low,Home,Retirement,Insufficient,Yes,Fair,Moderate,Yes,None
Poor,High,None,Stocks,Yes,No,High,Life,Travel,Adequate,Yes,Fair,Aggressive,No,None
